url_path,views_total,views_unique
/microsoft/power-platform-skills,11164,6609
/microsoft/power-platform-skills/tree/main/plugins/power-automate,3150,2188
/microsoft/power-platform-skills/tree/main/plugins,1830,1090
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1620,1071
/microsoft/power-platform-skills/tree/main,1390,823
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1125,669
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,833,572
/microsoft/power-platform-skills/tree/main/plugins/model-apps,530,348
/microsoft/power-platform-skills/tree/main/plugins/code-apps,448,278
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,413,275
